s,a,r,sp
4,6,0,4
4,3,500,8
8,2,0,4
4,2,50,7
1,8,0,1
1,1,500,2
2,2,500,5
5,8,500,5
5,7,50,7
7,1,50,7
7,4,500,8
8,6,500,8
8,2,500,8
8,8,50,7
7,6,50,4
4,2,500,8
8,7,50,7
7,3,5000,9
9,2,500,8
8,5,500,8
8,1,500,8
8,2,50,7
7,2,0,4
4,5,50,4
1,4,500,5
5,5,0,4
4,2,500,8
8,4,500,8
8,7,50,7
7,6,500,8
8,3,500,8
8,4,0,4
4,5,50,4
4,1,0,4
4,5,500,8
8,8,500,8
8,3,50,7
7,2,5000,9
9,8,50,7
7,3,50,7
7,4,50,7
7,5,500,8
8,1,500,8
8,4,50,7
5,8,0,4
4,1,50,4
4,1,0,4
4,6,0,4
4,4,500,8
8,4,50,4
4,3,5000,9
9,8,50,7
7,1,500,8
8,8,500,8
8,2,500,8
8,6,500,8
8,6,500,8
8,1,50,7
7,1,500,8
8,7,50,7
7,2,50,4
4,1,0,4
4,8,50,4
4,7,50,4
5,8,500,8
8,6,500,8
8,2,50,7
7,5,500,8
8,7,50,7
7,5,50,7
7,5,500,5
5,6,0,4
4,6,500,8
8,2,500,8
8,2,500,8
8,6,50,4
4,6,500,5
5,8,5000,9
9,7,50,7
7,2,50,7
7,6,500,8
8,2,500,5
5,5,0,4
4,8,50,4
5,8,0,4
4,4,50,7
7,7,500,8
8,7,50,7
7,5,500,8
8,5,500,8
8,3,500,8
8,6,500,8
8,8,500,8
8,3,50,7
7,1,500,8
8,1,50,7
7,6,500,8
8,8,500,8
8,2,0,4
4,7,500,8
8,5,500,8
8,3,500,8
8,3,500,8
8,6,50,7
8,8,500,8
8,5,5000,9
9,3,500,8
8,2,0,4
4,2,50,7
7,3,50,7
7,6,5000,9
9,5,500,8
8,6,500,8
8,1,50,7
7,8,500,8
8,5,50,7
7,8,500,8
8,8,500,8
8,1,500,8
8,6,500,8
8,1,500,8
8,2,0,4
4,7,50,7
7,3,500,8
1,5,50,1
1,2,50,4
4,6,500,8
8,2,500,8
8,5,500,8
8,7,50,7
7,4,500,8
8,5,500,8
8,6,500,8
8,2,5000,9
9,5,500,8
8,8,50,4
4,7,50,4
4,7,0,4
4,4,50,7
7,7,50,7
7,8,500,8
8,3,0,4
4,3,50,7
7,5,500,8
1,3,50,1
1,7,50,1
1,5,50,4
4,1,50,7
7,2,0,4
4,5,50,7
7,6,500,8
8,7,0,4
4,3,0,4
4,7,500,8
8,2,50,7
7,1,0,4
4,1,500,5
5,4,0,4
4,1,50,4
4,3,0,4
4,5,0,4
4,3,50,7
7,1,0,4
4,7,0,4
5,2,50,4
4,5,50,4
4,1,500,8
8,2,50,7
7,5,500,8
8,8,500,8
8,6,500,8
8,7,500,8
8,7,500,8
8,1,50,7
7,1,50,7
7,5,0,4
4,4,500,5
5,2,5000,6
6,5,50,7
7,6,500,8
8,6,500,8
8,7,500,8
8,5,500,8
8,1,50,7
1,8,0,1
1,3,50,4
4,5,50,4
4,7,500,8
8,2,5000,9
9,5,500,8
8,5,50,7
7,7,500,8
8,1,500,8
8,6,500,8
8,6,50,7
7,1,500,8
8,6,50,7
7,5,50,7
7,8,50,7
7,1,50,4
4,5,500,8
8,6,0,4
4,1,50,7
7,7,500,8
8,2,50,7
7,5,50,7
7,3,500,8
8,5,50,7
7,2,500,8
8,8,500,8
8,7,500,8
8,5,0,4
4,4,500,8
8,1,0,4
4,3,50,4
4,6,500,5
5,6,0,4
4,3,50,4
4,5,50,4
4,2,500,8
8,7,500,8
8,2,50,7
7,1,500,8
8,8,5000,9
1,7,0,1
1,2,50,4
4,7,50,4
4,4,0,4
4,5,50,4
4,3,500,8
8,3,50,7
7,5,500,8
8,7,50,7
7,7,500,8
8,4,0,4
4,7,50,4
4,5,50,4
4,8,50,4
4,1,0,4
4,6,500,8
8,2,500,8
8,2,500,8
8,5,500,8
8,2,500,8
5,2,500,8
8,5,500,8
8,4,500,8
8,7,50,7
7,2,50,7
7,1,50,7
7,1,500,8
8,5,500,8
8,1,500,8
8,7,50,4
4,2,0,4
4,1,50,7
7,2,0,4
4,7,50,7
7,3,500,8
8,6,5000,9
9,5,50,7
7,3,500,8
8,6,50,7
7,2,50,7
8,4,50,4
4,3,0,4
4,3,0,4
4,2,500,5
5,5,500,8
8,5,50,4
4,6,500,5
5,3,500,8
8,4,500,8
8,8,50,4
4,6,50,4
4,5,0,4
4,6,0,4
4,4,0,4
4,8,500,8
8,3,500,8
8,6,500,8
8,5,50,7
7,8,0,4
4,5,0,4
1,6,0,1
1,6,0,1
1,1,50,1
1,8,50,1
1,4,50,4
4,6,50,4
4,3,500,8
8,2,50,4
4,8,0,4
4,2,500,5
5,7,5000,9
9,1,50,7
7,7,50,7
7,5,500,8
8,7,500,8
8,8,0,4
4,7,500,8
8,4,5000,9
9,3,500,8
8,2,500,8
1,8,0,1
1,2,500,2
2,6,500,2
2,6,500,2
2,4,50,4
4,4,50,4
4,4,0,4
4,8,50,4
4,1,500,8
8,6,50,7
7,5,50,7
7,2,500,5
5,2,500,8
8,1,500,8
8,1,500,8
8,3,50,7
7,2,500,8
8,6,500,8
8,7,50,7
7,7,50,7
4,6,50,7
7,1,5000,9
9,7,50,7
7,5,50,7
7,7,50,7
7,5,0,4
4,6,50,7
7,8,500,8
8,8,50,7
7,3,50,7
7,1,500,8
8,5,50,7
7,6,500,8
8,4,500,8
8,8,500,8
8,2,500,8
8,3,0,4
4,1,500,8
8,5,50,4
4,6,50,4
5,2,500,8
8,2,0,4
4,3,50,7
7,8,5000,9
9,4,50,7
7,7,500,8
8,4,0,4
4,5,0,4
4,2,0,4
4,3,0,4
4,1,50,4
4,8,0,4
4,7,5000,6
6,2,0,4
4,7,5000,9
9,3,50,4
4,6,0,4
4,1,50,4
4,3,500,8
8,6,50,7
5,2,50,4
4,6,500,8
8,6,500,8
8,5,500,8
8,2,0,4
4,8,50,4
4,5,50,4
4,6,5000,6
6,5,0,4
4,3,50,7
7,4,500,8
8,2,500,8
8,2,500,8
8,7,500,8
8,2,50,4
4,1,500,8
8,2,500,8
8,5,500,8
8,1,500,8
8,7,500,8
1,5,5000,9
9,1,500,8
8,4,0,4
4,8,500,8
8,7,50,7
7,4,50,7
7,3,500,8
8,2,50,7
7,7,50,7
7,1,50,7
7,7,50,7
7,8,500,8
8,5,500,8
8,4,50,7
7,7,500,8
8,1,50,7
7,3,0,4
4,1,500,8
8,5,500,8
8,7,50,7
4,6,50,7
7,8,500,8
8,5,500,8
8,6,500,8
8,5,50,7
7,8,500,8
8,6,500,8
8,6,50,4
4,5,0,4
4,7,50,4
4,4,50,7
7,3,50,4
4,6,500,8
8,5,50,7
7,8,0,4
4,8,0,4
4,6,5000,9
9,7,50,7
7,4,0,4
4,5,50,7
5,1,500,5
5,3,0,4
4,3,50,4
4,8,5000,9
9,2,500,8
8,4,50,7
7,8,500,8
8,5,500,8
8,8,500,8
8,3,50,7
7,3,50,7
7,8,500,8
8,1,500,8
8,2,50,7
7,2,500,8
8,1,50,4
4,6,50,7
7,4,0,4
4,3,500,5
5,4,50,4
5,7,500,8
8,1,500,8
8,7,500,8
8,2,50,7
7,7,500,8
8,3,50,7
7,1,500,8
8,1,500,8
8,1,500,5
5,1,500,8
8,7,500,8
8,8,50,7
7,7,500,8
8,7,50,7
7,3,500,8
8,2,50,7
7,7,500,8
8,4,500,8
8,7,500,8
8,2,5000,9
8,7,0,4
4,8,500,8
8,4,50,7
7,3,500,8
8,5,500,8
8,4,0,4
4,7,0,4
4,5,500,8
8,4,500,8
8,7,500,8
8,3,50,7
7,6,50,7
7,4,500,8
8,1,500,8
8,2,50,4
4,1,5000,6
6,5,50,7
7,8,500,8
8,7,500,8
8,7,500,8
7,7,50,7
7,5,500,8
8,6,500,8
8,5,0,4
4,5,50,4
4,7,0,4
4,8,50,7
7,1,50,7
7,4,500,8
8,2,500,8
8,2,500,8
8,3,50,7
7,7,0,4
4,5,500,5
5,6,50,4
4,6,50,7
7,2,500,8
8,1,500,8
8,2,50,4
4,2,500,5
1,4,5000,6
6,2,50,4
4,3,50,4
4,3,50,4
4,2,50,4
4,5,50,7
7,4,500,8
8,8,50,7
7,2,50,7
7,3,0,4
4,1,0,4
4,2,0,4
4,5,50,7
7,3,5000,9
9,5,500,8
8,1,50,7
7,6,500,8
8,2,500,8
8,1,500,8
8,2,50,4
5,6,0,4
4,8,0,4
4,6,500,8
8,8,50,7
7,2,50,7
7,5,50,7
7,2,50,7
7,4,500,5
5,3,0,4
4,1,0,4
4,3,50,4
4,4,500,5
5,7,5000,6
6,4,500,8
8,7,500,8
8,8,50,7
7,5,0,4
4,3,500,8
8,3,500,8
8,4,500,8
1,5,50,4
4,2,0,4
4,5,50,7
7,2,500,8
8,5,0,4
4,3,500,8
8,5,500,8
8,7,50,7
7,3,50,7
7,2,50,7
7,3,500,8
8,4,50,7
7,8,500,8
8,2,5000,9
9,5,50,7
7,6,50,7
7,8,500,8
8,7,0,4
4,3,0,4
4,8,500,5
4,7,500,5
5,6,500,8
8,1,50,7
7,7,50,7
7,6,500,8
8,6,500,8
8,7,500,8
8,7,500,8
8,7,50,7
7,2,500,8
8,3,50,7
7,3,5000,9
9,3,50,7
7,7,50,7
7,8,50,4
4,8,500,5
5,6,500,5
5,4,0,4
4,5,0,4
4,5,50,4
8,1,500,8
8,6,50,7
7,5,50,7
7,3,50,7
7,5,0,4
4,1,50,7
7,3,500,8
8,1,50,4
4,2,0,4
4,8,500,5
5,6,500,5
5,4,5000,6
6,1,50,4
4,3,0,4
4,6,0,4
4,1,0,4
4,4,50,4
4,1,0,4
4,2,50,4
4,5,50,4
5,3,0,4
4,4,50,7
7,6,500,8
8,7,50,7
7,1,500,8
8,8,500,8
8,8,500,8
8,8,50,7
7,3,50,7
7,2,5000,9
9,4,0,4
4,7,500,8
8,8,50,7
7,2,500,8
8,7,500,8
8,3,50,7
7,1,50,7
7,7,500,8
8,2,500,8
8,3,50,7
4,5,0,4
4,4,5000,6
6,5,50,4
4,6,50,4
4,1,0,4
4,1,50,4
4,1,50,7
7,8,500,8
8,8,50,7
7,7,500,8
8,2,50,7
7,7,500,8
8,8,50,7
7,1,50,7
7,4,0,4
4,2,500,8
8,2,5000,9
9,7,500,8
8,1,500,8
8,1,0,4
8,4,50,7
7,4,5000,9
9,7,50,7
7,3,50,7
7,7,50,7
7,3,50,4
4,5,50,4
4,7,5000,9
9,5,50,4
4,1,50,7
7,7,50,7
7,7,500,8
8,4,50,4
4,2,50,7
7,8,50,7
7,7,50,7
7,8,50,7
7,3,50,7
7,7,500,8
8,4,500,8
1,8,0,1
1,5,500,5
5,8,50,7
7,5,500,8
8,6,500,8
8,8,50,7
7,4,5000,9
9,3,500,8
8,4,500,8
8,2,500,8
8,7,500,8
8,7,50,7
7,8,500,8
8,2,500,8
8,1,0,4
4,2,50,4
4,5,0,4
4,8,50,4
4,4,50,4
4,4,0,4
5,1,500,8
8,1,50,4
4,2,0,4
4,3,0,4
4,3,0,4
4,2,50,4
4,8,5000,9
9,1,500,8
8,5,50,7
7,3,50,7
7,6,500,8
8,3,50,7
7,6,500,8
8,7,500,8
8,4,500,8
8,5,0,4
4,4,500,8
8,5,500,8
8,6,50,7
7,6,50,7
8,1,0,4
4,6,50,4
4,3,50,4
4,7,500,8
8,8,50,7
7,8,500,8
8,8,500,8
8,2,0,4
4,5,50,7
7,3,50,7
7,5,50,7
7,6,50,7
7,6,500,8
8,8,500,8
8,8,500,8
8,1,50,7
7,7,500,8
8,8,50,7
7,6,50,7
7,2,50,7
5,7,500,8
8,1,5000,9
9,4,500,8
8,1,50,7
7,8,500,8
8,7,500,8
8,6,500,8
8,6,500,8
8,2,0,4
4,2,50,4
4,7,500,5
5,2,0,4
4,4,50,4
4,3,50,7
7,8,500,8
8,7,50,7
7,7,50,7
7,6,0,4
4,2,0,4
4,8,5000,9
1,7,0,1
1,8,0,1
1,3,50,7
7,8,500,8
8,1,0,4
4,5,0,4
4,8,0,4
4,5,50,4
4,3,0,4
4,2,50,7
7,6,50,4
4,2,500,8
8,5,500,8
8,6,500,8
8,4,50,7
7,5,50,7
7,8,500,5
5,5,5000,6
6,2,50,4
4,1,500,8
5,5,0,4
4,1,0,4
4,1,0,4
4,4,0,4
4,5,0,4
4,3,0,4
4,6,5000,9
9,2,50,7
7,3,0,4
4,8,0,4
4,6,500,5
5,8,50,4
4,4,500,5
5,3,50,7
7,4,50,7
7,5,50,7
7,8,50,4
4,6,0,4
4,8,50,4
4,5,0,4
1,2,500,5
5,4,0,4
4,4,5000,6
6,2,500,8
8,7,500,8
8,7,500,8
8,4,50,4
4,3,500,8
8,8,500,8
8,3,50,4
4,3,0,4
4,3,50,4
4,3,50,7
7,2,50,7
7,2,500,8
8,2,500,8
8,2,50,4
4,5,500,8
8,2,500,8
8,3,0,4
1,7,0,1
1,2,5000,3
3,2,5000,9
9,6,5000,9
9,7,500,8
8,8,500,8
8,4,0,4
4,4,50,4
4,1,50,4
4,4,0,4
4,1,500,5
5,1,0,4
4,1,50,4
4,2,0,4
4,4,500,8
8,5,500,8
8,5,500,8
8,2,50,7
7,4,50,7
7,6,500,8
1,8,0,1
1,1,5000,6
6,8,50,7
7,4,500,8
8,1,50,7
7,3,50,4
4,3,50,4
4,7,500,8
8,5,50,7
7,1,500,8
8,8,500,8
8,6,5000,9
9,2,500,8
8,6,500,8
8,3,500,8
8,1,500,8
8,8,500,8
8,2,0,4
4,3,5000,6
6,8,500,8
5,4,500,8
8,4,500,8
8,5,0,4
4,7,500,8
8,8,50,7
7,6,500,8
8,5,50,4
4,3,500,8
8,7,50,7
7,5,50,7
7,5,500,8
8,7,500,8
8,3,500,8
8,3,500,8
8,3,5000,9
9,4,500,8
8,3,50,7
7,7,500,8
8,7,500,8
8,7,500,8
1,5,5000,9
9,2,50,7
7,6,50,7
7,8,500,8
8,1,50,7
7,2,50,7
7,4,50,4
4,6,0,4
4,7,500,8
8,7,500,8
8,3,50,7
7,4,500,8
8,3,500,8
8,7,500,8
8,5,500,8
8,6,500,8
8,8,500,8
8,4,500,8
8,3,0,4
4,3,50,4
8,3,500,8
8,8,500,8
8,4,50,7
7,4,0,4
4,3,0,4
4,6,0,4
4,1,500,8
8,1,50,4
4,2,500,8
8,4,50,7
7,7,50,4
4,1,50,7
7,5,50,7
7,1,50,7
7,5,50,7
7,1,50,7
7,7,5000,9
9,5,50,7
7,2,5000,9
9,1,50,7
1,3,500,2
2,3,500,2
2,5,50,1
1,1,500,2
2,4,5000,3
3,1,50,1
1,7,50,1
1,2,500,8
8,1,50,4
4,8,0,4
4,2,500,5
5,1,50,4
4,1,50,7
7,3,0,4
4,3,50,4
4,4,50,4
4,8,500,8
8,3,500,8
8,3,500,8
8,8,50,7
1,7,0,1
1,7,0,1
1,3,500,8
8,8,500,8
8,6,500,8
8,6,50,7
7,6,500,8
8,4,50,7
7,3,50,7
7,7,500,8
8,5,0,4
4,5,50,4
4,2,500,8
8,7,5000,9
9,6,50,7
7,4,500,8
8,2,50,7
7,8,500,8
8,3,0,4
4,4,50,4
1,5,50,4
4,3,500,8
8,4,500,8
8,1,500,8
8,6,50,7
7,7,500,8
8,6,50,4
4,7,500,8
8,1,50,7
7,4,0,4
4,3,50,4
4,3,50,4
4,5,0,4
4,2,50,4
4,1,50,7
7,2,50,7
7,4,500,8
8,5,50,7
7,2,50,7
7,8,50,7
4,6,500,8
8,1,500,8
8,1,0,4
4,4,0,4
4,3,50,7
7,4,50,7
7,1,500,8
8,4,50,7
7,4,500,8
8,6,500,8
8,6,50,7
7,2,500,8
8,1,50,7
7,3,0,4
4,3,500,8
8,6,500,8
8,5,50,4
4,5,0,4
4,2,50,4
4,8,0,4
1,4,50,1
1,1,50,4
4,1,500,8
8,8,500,8
8,2,5000,9
9,5,50,4
4,2,0,4
4,8,50,4
4,3,50,4
4,7,50,7
7,8,0,4
4,6,5000,6
6,1,0,4
4,4,50,4
4,8,50,7
7,3,50,4
4,4,50,7
7,4,50,7
7,5,50,7
7,7,500,8
4,5,500,8
8,1,50,7
7,1,50,7
7,2,500,8
8,3,50,7
7,6,50,7
7,1,500,8
8,2,500,8
8,2,50,7
7,8,50,7
7,7,500,8
8,5,500,8
8,6,50,7
7,1,500,8
8,8,500,8
8,1,50,7
7,2,500,8
8,2,50,4
4,5,5000,6
6,8,50,7
1,3,500,5
5,7,0,4
4,4,500,5
5,1,50,4
4,7,50,4
4,2,5000,9
9,6,50,7
7,4,0,4
4,5,50,7
7,3,50,7
7,8,500,8
8,1,0,4
4,2,500,8
8,6,500,8
8,6,50,4
4,7,0,4
4,1,500,5
5,4,500,5
5,7,50,4
4,2,500,8
1,3,50,1
1,5,50,1
1,5,500,5
5,1,50,4
4,5,5000,6
6,3,0,4
4,4,50,4
4,2,0,4
4,2,0,4
4,6,0,4
4,3,500,5
5,6,50,4
4,3,0,4
4,2,5000,6
6,1,500,5
5,8,50,4
4,5,500,5
5,3,500,8
8,3,500,8
8,5,500,8
1,6,0,1
1,2,50,1
1,7,50,1
1,8,50,1
1,8,50,1
1,4,500,8
8,7,500,8
8,7,50,7
7,3,50,7
7,3,500,8
8,3,50,7
7,2,500,8
8,5,5000,9
9,2,500,8
8,1,500,8
8,4,500,8
8,2,50,7
7,3,500,8
8,1,50,4
4,8,0,4
8,5,50,7
7,4,50,4
4,2,50,4
4,4,50,7
7,2,500,8
8,4,500,8
8,3,50,4
4,8,50,7
7,4,50,7
7,6,5000,9
9,2,50,7
7,7,50,7
7,3,500,8
8,7,500,8
8,4,500,8
8,1,50,4
4,3,500,5
5,5,0,4
4,6,0,4
4,1,0,4
1,8,0,1
1,8,0,1
1,5,50,4
4,7,0,4
4,6,50,4
4,5,50,4
4,8,500,8
8,4,500,8
8,2,50,7
7,7,500,8
8,4,0,4
4,3,500,8
8,7,0,4
4,6,0,4
4,1,50,4
4,1,500,5
5,5,500,8
8,1,500,8
8,2,0,4
4,7,500,5
1,6,0,1
1,1,50,4
4,5,50,4
4,1,0,4
4,3,50,4
4,2,500,8
8,3,500,8
8,2,50,7
7,8,500,8
8,8,50,7
7,4,50,7
7,3,500,8
8,6,500,8
8,8,50,7
7,4,50,4
4,2,50,7
7,5,500,8
8,3,50,7
7,1,50,7
7,5,50,7
1,7,0,1
1,2,5000,9
9,5,500,8
8,7,50,7
7,2,500,8
8,5,500,8
8,8,5000,9
9,6,50,7
7,2,50,7
7,5,500,8
8,1,500,8
8,3,0,4
4,3,500,8
8,2,50,7
7,3,500,8
8,7,50,7
7,2,500,8
8,8,500,8
8,2,500,8
8,1,50,7
8,7,500,8
8,6,500,8
8,7,500,8
8,6,500,8
8,2,500,8
8,5,500,8
8,5,0,4
4,4,0,4
4,5,0,4
4,7,500,5
5,6,50,4
4,8,50,4
4,7,50,4
4,8,50,4
4,6,500,5
5,7,0,4
4,7,0,4
4,7,500,8
8,1,500,8
8,1,500,8
1,1,50,4
4,7,500,8
8,4,0,4
4,1,0,4
4,4,500,8
8,1,50,7
7,2,500,8
8,5,0,4
4,1,5000,6
6,3,0,4
4,2,500,8
8,4,500,8
8,7,50,7
7,3,500,8
8,7,0,4
4,4,50,4
4,6,0,4
4,6,50,4
4,5,50,4
4,2,50,4
5,7,50,4
4,6,0,4
4,2,0,4
4,8,50,7
7,6,0,4
4,4,500,5
5,7,0,4
4,8,0,4
4,8,0,4
4,1,50,7
7,1,500,8
8,5,500,8
8,3,500,8
8,8,50,7
7,8,500,8
8,8,50,7
7,3,50,7
7,2,50,7
7,1,500,8
8,3,0,4
8,6,50,7
7,7,500,8
8,3,50,4
4,1,0,4
4,5,0,4
4,2,0,4
4,6,500,8
8,5,50,7
7,8,500,8
8,8,500,8
8,5,50,7
7,5,500,8
8,1,50,7
7,3,50,7
7,2,50,7
7,6,0,4
4,6,500,8
8,8,50,7
7,7,0,4
4,3,500,8
8,1,500,8
8,8,500,8
8,2,500,8
8,6,500,8
8,8,500,8
8,8,500,8
8,2,500,8
8,1,500,8
8,1,50,7
7,4,50,4
4,8,500,8
8,6,500,8
8,6,500,8
8,1,500,5
5,2,0,4
4,3,50,4
4,4,50,7
7,5,500,8
8,6,500,8
8,7,500,8
5,4,0,4
4,3,0,4
4,3,50,4
4,4,50,7
7,5,50,7
7,2,50,4
4,8,500,8
8,3,500,8
8,7,50,7
7,2,500,5
5,6,50,4
4,1,0,4
4,4,500,5
5,3,0,4
4,1,0,4
4,6,500,8
8,2,0,4
4,4,50,4
4,3,500,8
8,5,50,7
1,4,500,2
2,8,500,2
2,3,50,7
7,6,50,7
7,8,50,7
7,3,50,7
7,5,500,8
8,3,50,4
4,1,50,7
7,6,5000,9
9,7,0,4
